@Version:0.9.1
@SampleID:gsa

@@SEQUENCEID	BINID	TAXID
RM2|P|C20722	Sample22_100	10239
RM2|P|C23700	1053037	1516
RM2|P|C11885	1053037	1516
RM2|P|C62876	1053037	1516
RM2|P|C29947	1053037	1516
RM2|P|C18511	1053037	1516
RM2|P|C40294	1053037	1516
RM2|P|C49671	1053037	1516
RM2|P|C29457	1053037	1516
RM2|P|C11357	1053037	1516
RM2|P|C58488	1053037	1516
RM2|P|C37021	1053037	1516
RM2|P|C31280	1053037	1516
RM2|P|C41478	1053037	1516
RM2|P|C19233	1053037	1516
RM2|P|C14266	1053037	1516
RM2|P|C57909	1053037	1516
RM2|P|C38762	1053037	1516
RM2|P|C24432	1053037	1516
RM2|P|C32202	1053037	1516
RM2|P|C27779	1053037	1516
RM2|P|C769	1053037	1516
RM2|P|C19955	1053037	1516
RM2|P|C50606	1053037	1516
RM2|P|C62705	1053037	1516
RM2|P|C47689	1053037	1516
RM2|P|C6593	1053037	1516
RM2|P|C61331	1053037	1516
RM2|P|C22698	1053037	1516
RM2|P|C33011	1053037	1516
RM2|P|C13242	1053037	1516
RM2|P|C34619	1053037	1516
RM2|P|C62026	1053037	1516
RM2|P|C18453	1053037	1516
RM2|P|C46277	1053037	1516
RM2|P|C6749	1053037	1516
RM2|P|C47380	1053037	1516
RM2|P|C60327	1053037	1516
RM2|P|C49189	1053037	1516
RM2|P|C30205	1053037	1516
RM2|P|C39702	1053037	1516
RM2|P|C56257	1053037	1516
RM2|P|C38980	1053037	1516
RM2|P|C59974	1053037	1516
RM2|P|C46503	1053037	1516
RM2|P|C15239	1053037	1516
RM2|P|C56645	1053037	1516
RM2|P|C36462	1053037	1516
RM2|P|C32154	1053037	1516
RM2|P|C7481	1053037	1516
RM2|P|C24915	1053037	1516
RM2|P|C53354	1053037	1516
RM2|P|C58642	1053037	1516
RM2|P|C14393	1053037	1516
RM2|P|C8574	1053037	1516
RM2|P|C62816	1053037	1516
RM2|P|C36969	1053037	1516
RM2|P|C37871	1053037	1516
RM2|P|C23083	1053037	1516
RM2|P|C26294	1053037	1516
RM2|P|C45783	1053037	1516
RM2|P|C23509	1053037	1516
RM2|P|C37919	1053037	1516
RM2|P|C29672	1053037	1516
RM2|P|C50001	1053037	1516
RM2|P|C33399	1053037	1516
RM2|P|C44861	1053037	1516
RM2|P|C10028	1053037	1516
RM2|P|C36211	1053037	1516
RM2|P|C11993	1053037	1516
RM2|P|C14684	1053037	1516
RM2|P|C24553	1053037	1516
RM2|P|C23190	1053037	1516
RM2|P|C57040	1053037	1516
RM2|P|C5897	1053037	1516
RM2|P|C17294	1053037	1516
RM2|P|C3220	1053037	1516
RM2|P|C34230	1053037	1516
RM2|P|C7357	1053037	1516
RM2|P|C49632	1053037	1516
RM2|P|C35691	1053037	1516
RM2|P|C3879	1053037	1516
RM2|P|C7854	1053037	1516
RM2|P|C34411	1053037	1516
RM2|P|C1169	1053037	1516
RM2|P|C20674	1053037	1516
RM2|P|C15899	1053037	1516
RM2|P|C5819	1053037	1516
RM2|P|C54481	1053037	1516
RM2|P|C11975	1053037	1516
RM2|P|C56675	1053037	1516
RM2|P|C33728	1053037	1516
RM2|P|C52351	1053037	1516
RM2|P|C53383	1053037	1516
RM2|P|C15234	1053037	1516
RM2|P|C53462	1053037	1516
RM2|P|C9826	1053037	1516
RM2|P|C2621	1053037	1516
RM2|P|C29754	1053037	1516
RM2|P|C40171	1053037	1516
RM2|P|C6307	1053037	1516
RM2|P|C47011	1053037	1516
RM2|P|C11733	1053037	1516
RM2|P|C59757	1053037	1516
RM2|P|C4715	1053037	1516
RM2|P|C28404	1053037	1516
RM2|P|C47571	1053037	1516
RM2|P|C50282	1053037	1516
RM2|P|C38592	1053037	1516
RM2|P|C53756	1053037	1516
RM2|P|C54063	1053037	1516
RM2|P|C51935	1053037	1516
RM2|P|C48514	1053037	1516
RM2|P|C18068	1053037	1516
RM2|P|C17987	1053037	1516
RM2|P|C1770	1053037	1516
RM2|P|C49453	1053037	1516
RM2|P|C53270	1053037	1516
RM2|P|C23665	1053037	1516
RM2|P|C4819	1053037	1516
RM2|P|C50375	1053037	1516
RM2|P|C2079	1053037	1516
RM2|P|C14483	1053037	1516
RM2|P|C1004	1053037	1516
RM2|P|C21857	1053037	1516
RM2|P|C33888	1053037	1516
RM2|P|C12135	1053037	1516
RM2|P|C53451	1053037	1516
RM2|P|C41809	1053037	1516
RM2|P|C31794	1053037	1516
RM2|P|C56619	1053037	1516
RM2|P|C43185	1053037	1516
RM2|P|C9247	1053037	1516
RM2|P|C58489	1053037	1516
RM2|P|C34413	evo_1030728.011	1121270
RM2|P|C6158	evo_1030728.011	1121270
RM2|P|C52967	evo_1030728.011	1121270
RM2|P|C2873	evo_1030728.011	1121270
RM2|P|C17504	evo_1030728.011	1121270
RM2|P|C10228	evo_1030728.011	1121270
RM2|P|C52956	evo_1030728.011	1121270
RM2|P|C51644	evo_1030728.011	1121270
RM2|P|C8998	evo_1030728.011	1121270
RM2|P|C15293	evo_1030728.011	1121270
RM2|P|C54935	evo_1030728.011	1121270
RM2|P|C56134	evo_1030728.011	1121270
RM2|P|C56739	evo_1030728.011	1121270
RM2|P|C28321	evo_1030728.011	1121270
RM2|P|C18931	evo_1030728.011	1121270
RM2|P|C24276	evo_1030728.011	1121270
RM2|P|C8687	evo_1030728.011	1121270
RM2|P|C46056	evo_1030728.011	1121270
RM2|P|C25635	evo_1030728.011	1121270
RM2|P|C25062	evo_1030728.011	1121270
RM2|P|C8116	evo_1030728.011	1121270
RM2|P|C38427	evo_1030728.011	1121270
RM2|P|C38196	evo_1030728.011	1121270
RM2|P|C40086	evo_1030728.011	1121270
RM2|P|C25988	evo_1030728.011	1121270
RM2|P|C31117	evo_1030728.011	1121270
RM2|P|C35747	evo_1030728.011	1121270
RM2|P|C41397	evo_1030728.011	1121270
RM2|P|C26152	evo_1030728.011	1121270
RM2|P|C51319	evo_1030728.011	1121270
RM2|P|C44979	evo_1030728.011	1121270
RM2|P|C60543	evo_1030728.011	1121270
RM2|P|C7013	evo_1030728.011	1121270
RM2|P|C20270	evo_1030728.011	1121270
RM2|P|C10902	evo_1030728.011	1121270
RM2|P|C44760	evo_1030728.011	1121270
RM2|P|C55154	evo_1030728.011	1121270
RM2|P|C58388	evo_1030728.011	1121270
RM2|P|C41246	evo_1030728.011	1121270
RM2|P|C56843	evo_1030728.011	1121270
RM2|P|C56756	evo_1030728.011	1121270
RM2|P|C40100	evo_1030728.011	1121270
RM2|P|C62373	evo_1030728.011	1121270
RM2|P|C15144	evo_1030728.011	1121270
RM2|P|C55109	evo_1030728.011	1121270
RM2|P|C26627	evo_1030728.011	1121270
RM2|P|C39215	evo_1030728.011	1121270
RM2|P|C16501	evo_1030728.011	1121270
RM2|P|C54060	evo_1030728.011	1121270
RM2|P|C2996	evo_1030728.011	1121270
RM2|P|C29964	evo_1030728.011	1121270
RM2|P|C37823	evo_1030728.011	1121270
RM2|P|C23708	evo_1030728.011	1121270
RM2|P|C11041	evo_1030728.011	1121270
RM2|P|C9161	evo_1030728.011	1121270
RM2|P|C59380	evo_1030728.011	1121270
RM2|P|C27695	evo_1030728.011	1121270
RM2|P|C13914	evo_1030728.011	1121270
RM2|P|C3480	evo_1030728.011	1121270
RM2|P|C29227	evo_1030728.011	1121270
RM2|P|C28539	evo_1030728.011	1121270
RM2|P|C4562	evo_1030728.011	1121270
RM2|P|C54909	evo_1030728.011	1121270
RM2|P|C48650	evo_1030728.011	1121270
RM2|P|C7288	evo_1030728.011	1121270
RM2|P|C30290	evo_1030728.011	1121270
RM2|P|C26717	Sample23_370	45202
RM2|P|C21708	Sample15_91	32644
RM2|P|C24474	Sample15_91	32644
RM2|P|C37373	Sample15_91	32644
RM2|P|C14480	evo_1139_Y.035	169973
RM2|P|C18479	evo_1139_Y.035	169973
RM2|P|C35763	evo_1139_Y.035	169973
RM2|P|C36446	evo_1139_Y.035	169973
RM2|P|C45328	evo_1139_Y.035	169973
RM2|P|C3726	evo_1139_Y.035	169973
RM2|P|C34398	evo_1139_Y.035	169973
RM2|P|C21687	evo_1139_Y.035	169973
RM2|P|C47754	evo_1139_Y.035	169973
RM2|P|C61803	evo_1139_Y.035	169973
RM2|P|C41718	evo_1139_Y.035	169973
RM2|P|C19323	evo_1139_Y.035	169973
RM2|P|C47126	evo_1139_Y.035	169973
RM2|P|C21910	evo_1139_Y.035	169973
RM2|P|C28522	evo_1139_Y.035	169973
RM2|P|C47003	evo_1139_Y.035	169973
RM2|P|C60041	evo_1139_Y.035	169973
RM2|P|C5814	evo_1139_Y.035	169973
RM2|P|C61324	evo_1139_Y.035	169973
RM2|P|C18194	evo_1139_Y.035	169973
RM2|P|C42781	evo_1139_Y.035	169973
RM2|P|C60828	evo_1139_Y.035	169973
RM2|P|C61415	evo_1139_Y.035	169973
RM2|P|C10280	evo_1139_Y.035	169973
RM2|P|C39250	evo_1139_Y.035	169973
RM2|P|C6013	evo_1139_Y.035	169973
RM2|P|C55092	evo_1139_Y.035	169973
RM2|P|C31145	evo_1139_Y.035	169973
RM2|P|C7217	evo_1139_Y.035	169973
RM2|P|C58574	evo_1139_Y.035	169973
RM2|P|C2128	evo_1139_Y.035	169973
RM2|P|C40818	evo_1139_Y.035	169973
RM2|P|C25243	evo_1139_Y.035	169973
RM2|P|C44511	evo_1139_Y.035	169973
RM2|P|C9228	evo_1139_Y.035	169973
RM2|P|C43651	evo_1139_Y.035	169973
RM2|P|C20508	evo_1139_Y.035	169973
RM2|P|C62691	evo_1139_Y.035	169973
RM2|P|C20875	evo_1139_Y.035	169973
RM2|P|C44490	evo_1139_Y.035	169973
RM2|P|C40505	evo_1139_Y.035	169973
RM2|P|C38728	evo_1139_Y.035	169973
RM2|P|C29284	evo_1139_Y.035	169973
RM2|P|C22878	evo_1139_Y.035	169973
RM2|P|C18354	evo_1139_Y.035	169973
RM2|P|C5414	evo_1139_Y.035	169973
RM2|P|C37157	evo_1139_Y.035	169973
RM2|P|C27003	evo_1139_Y.035	169973
RM2|P|C56933	evo_1139_Y.035	169973
RM2|P|C47231	evo_1139_Y.035	169973
RM2|P|C26434	evo_1139_Y.035	169973
RM2|P|C46661	evo_1139_Y.035	169973
RM2|P|C14669	evo_1139_Y.035	169973
RM2|P|C1666	evo_1139_Y.035	169973
RM2|P|C31512	evo_1139_Y.035	169973
RM2|P|C62408	evo_1139_Y.035	169973
RM2|P|C9403	evo_1139_Y.035	169973
RM2|P|C34390	evo_1139_Y.035	169973
RM2|P|C55356	evo_1139_Y.035	169973
RM2|P|C31979	evo_1139_Y.035	169973
RM2|P|C5031	evo_1139_Y.035	169973
RM2|P|C30709	evo_1139_Y.035	169973
RM2|P|C7443	evo_1139_Y.035	169973
RM2|P|C53543	evo_1139_Y.035	169973
RM2|P|C58068	evo_1139_Y.035	169973
RM2|P|C27515	evo_1139_Y.035	169973
RM2|P|C63352	evo_1139_Y.035	169973
RM2|P|C38260	evo_1139_Y.035	169973
RM2|P|C19240	evo_1139_Y.035	169973
RM2|P|C47945	evo_1139_Y.035	169973
RM2|P|C1815	evo_1139_Y.035	169973
RM2|P|C325	evo_1139_Y.035	169973
RM2|P|C7624	evo_1139_Y.035	169973
RM2|P|C12396	evo_1139_Y.035	169973
RM2|P|C59236	evo_1139_Y.035	169973
RM2|P|C61433	evo_1139_Y.035	169973
RM2|P|C28376	evo_1139_Y.035	169973
RM2|P|C48245	evo_1139_Y.035	169973
RM2|P|C47442	evo_1139_Y.035	169973
RM2|P|C41023	evo_1139_Y.035	169973
RM2|P|C22474	evo_1139_Y.035	169973
RM2|P|C33522	evo_1139_Y.035	169973
RM2|P|C46230	evo_1139_Y.035	169973
RM2|P|C56009	evo_1139_Y.035	169973
RM2|P|C12165	evo_1139_Y.035	169973
RM2|P|C957	evo_1139_Y.035	169973
RM2|P|C57805	evo_1139_Y.035	169973
RM2|P|C56390	evo_1139_Y.035	169973
RM2|P|C15585	evo_1139_Y.035	169973
RM2|P|C45682	evo_1139_Y.035	169973
RM2|P|C44811	evo_1139_Y.035	169973
RM2|P|C30619	evo_1139_Y.035	169973
RM2|P|C25941	evo_1139_Y.035	169973
RM2|P|C15394	evo_1139_Y.035	169973
RM2|P|C52436	evo_1139_Y.035	169973
RM2|P|C20005	evo_1139_Y.035	169973
RM2|P|C41148	evo_1139_Y.035	169973
RM2|P|C33456	evo_1139_Y.035	169973
RM2|P|C34506	evo_1139_Y.035	169973
RM2|P|C61339	evo_1139_Y.035	169973
RM2|P|C7875	evo_1139_Y.035	169973
RM2|P|C23850	evo_1139_Y.035	169973
RM2|P|C53360	evo_1139_Y.035	169973
RM2|P|C62916	evo_1139_Y.035	169973
RM2|P|C3291	evo_1139_Y.035	169973
RM2|P|C54467	evo_1139_Y.035	169973
RM2|P|C34654	evo_1139_Y.035	169973
RM2|P|C24064	evo_1139_Y.035	169973
RM2|P|C20305	evo_1139_Y.035	169973
RM2|P|C56410	evo_1139_Y.035	169973
RM2|P|C9835	evo_1139_Y.035	169973
RM2|P|C57378	evo_1139_Y.035	169973
RM2|P|C30069	evo_1139_Y.035	169973
RM2|P|C11017	evo_1139_Y.035	169973
RM2|P|C19352	evo_1139_Y.035	169973
RM2|P|C2624	evo_1139_Y.035	169973
RM2|P|C19643	evo_1139_Y.035	169973
RM2|P|C50849	evo_1139_Y.035	169973
RM2|P|C48028	evo_1139_Y.035	169973
RM2|P|C22846	evo_1139_Y.035	169973
RM2|P|C12317	evo_1139_Y.035	169973
RM2|P|C5975	evo_1139_Y.035	169973
RM2|P|C223	evo_1139_Y.035	169973
RM2|P|C14277	evo_1139_Y.035	169973
RM2|P|C13504	evo_1139_Y.035	169973
RM2|P|C26543	evo_1139_Y.035	169973
RM2|P|C50906	evo_1139_Y.035	169973
RM2|P|C60415	evo_1139_Y.035	169973
RM2|P|C14083	evo_1139_Y.035	169973
RM2|P|C42032	evo_1139_Y.035	169973
RM2|P|C24211	evo_1139_Y.035	169973
RM2|P|C23334	evo_1139_Y.035	169973
RM2|P|C27092	evo_1139_Y.035	169973
RM2|P|C4467	evo_1139_Y.035	169973
RM2|P|C31038	evo_1139_Y.035	169973
RM2|P|C27213	evo_1139_Y.035	169973
RM2|P|C11051	evo_1139_Y.035	169973
RM2|P|C14005	evo_1139_Y.035	169973
RM2|P|C59650	evo_1139_Y.035	169973
RM2|P|C43941	evo_1139_Y.035	169973
RM2|P|C5014	evo_1139_Y.035	169973
RM2|P|C438	evo_1139_Y.035	169973
RM2|P|C41083	evo_1139_Y.035	169973
RM2|P|C16806	evo_1139_Y.035	169973
RM2|P|C6133	evo_1139_Y.035	169973
RM2|P|C13986	evo_1139_Y.035	169973
RM2|P|C52074	evo_1139_Y.035	169973
RM2|P|C5555	evo_1139_Y.035	169973
RM2|P|C6809	evo_1139_Y.035	169973
RM2|P|C57095	evo_1139_Y.035	169973
RM2|P|C4086	evo_1139_Y.035	169973
