tool,precision,recall,accuracy,misclassification rate,level
NLP_MeTaxa,95,96,99,1,superkingdom
NLP_MeTaxa,87,93,93,7,phylum
NLP_MeTaxa,88,89,90,10,class
NLP_MeTaxa,90,86,87,13,order
NLP_MeTaxa,91,84,85,15,family
NLP_MeTaxa,90,83,83,17,genus
NLP_MeTaxa,90,83,90,10,species
Kraken 0.10.5 ,49.67,98.13,96.43,0.41,superkingdom
Kraken 0.10.5 ,36.25,64.87,94.44,1.23,phylum
Kraken 0.10.5 ,26.67,72.75,92.35,2.17,class
Kraken 0.10.5 ,26.63,72.62,90.66,3.14,order
Kraken 0.10.5 ,29.57,67.07,84.22,7.62,family
Kraken 0.10.5 ,15.89,45.45,64.64,23.38,genus
Kraken 0.10.5 ,0.79,5.24,11.69,61.8,species
Kraken 0.10.6-unreleased,49.86,99.31,98.71,0.45,superkingdom
Kraken 0.10.6-unreleased,32.01,78.8,97.6,1.14,phylum
Kraken 0.10.6-unreleased,25.79,84.15,96.12,2.01,class
Kraken 0.10.6-unreleased,24.31,83.52,94.55,3.27,order
Kraken 0.10.6-unreleased,25.43,75.8,88.85,8.36,family
Kraken 0.10.6-unreleased,13.67,50.32,68.93,26.96,genus
Kraken 0.10.6-unreleased,0.64,5.68,12.98,75.93,species
MEGAN 6.4.9 ,4.1,86.6,80.8,0.07,superkingdom
MEGAN 6.4.9 ,2.66,39.7,49.94,0.71,phylum
MEGAN 6.4.9 ,2.64,40.7,47.21,1.51,class
MEGAN 6.4.9 ,3.26,38.79,45.28,1.9,order
MEGAN 6.4.9 ,4.83,33.4,38.14,3.81,family
MEGAN 6.4.9 ,4.21,18.99,26.62,7.06,genus
MEGAN 6.4.9 ,0.73,2.43,3.12,15.5,species
PhyloPythiaS+ mg c100,99.38,28.38,49.05,0.03,superkingdom
PhyloPythiaS+ mg c100,79.51,27.1,42.26,0.91,phylum
PhyloPythiaS+ mg c100,87.03,30.36,41.27,0.91,class
PhyloPythiaS+ mg c100,88.62,29.46,40.32,0.92,order
PhyloPythiaS+ mg c100,83.56,26.94,34.62,0.94,family
PhyloPythiaS+ mg c100,62.34,15.5,20.63,5.11,genus
PhyloPythiaS+ mg c100,25.24,1.91,2.98,12.48,species
PhyloPythiaS+  c100,99.82,99.81,99.9,0,superkingdom
PhyloPythiaS+  c100,90.55,96.37,99.68,0.13,phylum
PhyloPythiaS+  c100,90.23,96.38,98.36,0.96,class
PhyloPythiaS+  c100,88.25,94.37,97.26,1.63,order
PhyloPythiaS+  c100,81.37,85.81,92.05,4.55,family
PhyloPythiaS+  c100,56.88,54.69,66.76,23.2,genus
PhyloPythiaS+  c100,10.25,11.13,19.35,55.42,species
taxator-tk 1.3.0e,66.57,1.91,1.77,0,superkingdom
taxator-tk 1.3.0e,91.51,2.16,1.72,0,phylum
taxator-tk 1.3.0e,94.73,1.86,1.6,0,class
taxator-tk 1.3.0e,96.75,1.51,1.49,0,order
taxator-tk 1.3.0e,98.1,1.15,1.35,0.01,family
taxator-tk 1.3.0e,81.25,0.55,0.7,0.07,genus
taxator-tk 1.3.0e,16.67,0.03,0.05,0.03,species
taxator-tk 1.4pre1e,66.57,1.91,1.77,0,superkingdom
taxator-tk 1.4pre1e,91.46,2.17,1.76,0,phylum
taxator-tk 1.4pre1e,94.69,1.89,1.67,0,class
taxator-tk 1.4pre1e,96.73,1.53,1.59,0,order
taxator-tk 1.4pre1e,98.09,1.15,1.36,0.01,family
taxator-tk 1.4pre1e,81.25,0.55,0.7,0.07,genus
taxator-tk 1.4pre1e,16.67,0.03,0.05,0.03,species
