tool,precision,recall,accuracy,misclassification rate,level
NLP_MeTaxa,97,87,99,1,superkingdom
NLP_MeTaxa,92,90,92,8,phylum
NLP_MeTaxa,90,86,89,11,class
NLP_MeTaxa,89,88,87,13,order
NLP_MeTaxa,89,88,80,20,family
NLP_MeTaxa,89,87,80,20,genus
NLP_MeTaxa,92,89,86,14,species
Kraken 0.10.5 ,74.94,61.23,88.06,0.18,superkingdom
Kraken 0.10.5 ,23.01,85.23,87.29,0.53,phylum
Kraken 0.10.5 ,28.5,76.92,86.41,0.98,class
Kraken 0.10.5 ,28.7,79.04,85.56,1.42,order
Kraken 0.10.5 ,23.28,72.55,77.09,7.43,family
Kraken 0.10.5 ,9.81,58.96,65.45,15.65,genus
Kraken 0.10.5 ,2.68,35.51,36.55,41.12,species
Kraken 0.10.6-unreleased,74.48,64.93,93.03,0.28,superkingdom
Kraken 0.10.6-unreleased,13.89,89.96,91.66,0.75,phylum
Kraken 0.10.6-unreleased,17.96,83.79,90.55,1.33,class
Kraken 0.10.6-unreleased,19.02,84.91,89.89,1.72,order
Kraken 0.10.6-unreleased,15.89,77.26,80.87,9.9,family
Kraken 0.10.6-unreleased,6.39,61.72,68.41,20.33,genus
Kraken 0.10.6-unreleased,1.58,36.13,36.81,48.35,species
MEGAN 6.4.9 ,27.39,71.84,90.55,0.12,superkingdom
MEGAN 6.4.9 ,3.49,59.51,60.47,0.29,phylum
MEGAN 6.4.9 ,4.11,52.97,56.97,0.84,class
MEGAN 6.4.9 ,4.36,50.58,53.12,1.31,order
MEGAN 6.4.9 ,4.6,41.81,41.94,4.64,family
MEGAN 6.4.9 ,2.46,29.11,27.24,6.93,genus
MEGAN 6.4.9 ,0.57,14.48,14.65,9.97,species
PhyloPythiaS+ mg c100,94.05,14.88,42.81,0,superkingdom
PhyloPythiaS+ mg c100,74.52,37.74,36.83,0.44,phylum
PhyloPythiaS+ mg c100,87.26,30.48,35.85,0.47,class
PhyloPythiaS+ mg c100,89.87,30.77,35.22,0.5,order
PhyloPythiaS+ mg c100,81.37,24.61,26.47,2.4,family
PhyloPythiaS+ mg c100,61.33,17.15,17.18,6.03,genus
PhyloPythiaS+ mg c100,29.4,8.19,7.5,9.39,species
PhyloPythiaS+  c100,75.11,45.61,95.95,1.23,superkingdom
PhyloPythiaS+  c100,73.96,86.15,95.12,1.13,phylum
PhyloPythiaS+  c100,81.63,81.97,92.43,2.65,class
PhyloPythiaS+  c100,83.7,81.67,90.4,3.17,order
PhyloPythiaS+  c100,78.28,74.63,80.36,8.53,family
PhyloPythiaS+  c100,56.92,53.32,59.2,16.85,genus
PhyloPythiaS+  c100,25.94,30.42,28.93,44.2,species
taxator-tk 1.3.0e,66.63,6.08,8.74,0,superkingdom
taxator-tk 1.3.0e,71.42,7.24,8.55,0,phylum
taxator-tk 1.3.0e,93.04,8.54,8.07,0.01,class
taxator-tk 1.3.0e,87.26,7.81,7.77,0.02,order
taxator-tk 1.3.0e,76.2,6.38,6.57,0.27,family
taxator-tk 1.3.0e,56.21,3.28,3.64,0.78,genus
taxator-tk 1.3.0e,42.5,1.25,1.15,0.24,species
taxator-tk 1.4pre1e,66.62,6.1,8.78,0,superkingdom
taxator-tk 1.4pre1e,71.19,7.41,8.75,0.03,phylum
taxator-tk 1.4pre1e,92.63,8.67,8.36,0.05,class
taxator-tk 1.4pre1e,87.2,7.92,8.17,0.04,order
taxator-tk 1.4pre1e,76.12,6.42,6.71,0.3,family
taxator-tk 1.4pre1e,56.21,3.28,3.64,0.78,genus
taxator-tk 1.4pre1e,42.5,1.25,1.15,0.24,species
